,TSLA_OPEN,TSLA_PREV_OPEN
361,71.281998,70.800003
362,69.528,72.225998
363,67.737999,71.690002
364,67.089996,68.382004
365,61.099998,67.982002
366,61.099998,67.982002
367,61.099998,67.982002
368,61.688,64.699997
369,64.379997,58.34
370,64.328003,62.122002
371,64.019997,64.174004
372,64.564003,63.827999
373,64.564003,63.827999
374,64.564003,63.827999
375,63.854,64.139999
376,62.372002,63.599998
377,61.001999,63.681999
378,60.630001,62.054001
379,60.332001,60.452
380,60.332001,60.452
381,60.332001,60.452
382,60.332001,60.452
383,57.790001,60.400002
384,56.147999,59.388
385,56.189999,57.009998
386,52.647999,56.959999
387,52.647999,56.959999
388,52.647999,56.959999
389,57.099998,52.02
390,55.888,54.652
391,58.108002,55.894001
392,57.891998,56.287998
393,59.040001,57.604
394,59.040001,57.604
395,59.040001,57.604
396,58.967999,57.751999
397,56.992001,58.007999
398,59.804001,59.338001
399,59.666,56.102001
400,59.82,60.712002
401,59.82,60.712002
402,59.82,60.712002
403,59.936001,59.540001
404,60.198002,59.695999
405,61.916,60.0
406,61.504002,60.382
407,52.953999,62.580002
408,52.953999,62.580002
409,52.953999,62.580002
410,62.139999,54.051998
411,60.203999,61.153999
412,58.959999,62.790001
413,56.366001,60.666
414,52.389999,58.790001
415,52.389999,58.790001
416,52.389999,58.790001
417,50.112,54.93
418,52.560001,52.903999
419,51.375999,51.049999
420,50.445999,52.922001
421,51.756001,51.506001
422,51.756001,51.506001
423,51.756001,51.506001
424,51.917999,52.200001
425,55.318001,51.812
426,54.355999,53.139999
427,52.782001,56.48
428,52.0,53.858002
429,52.0,53.858002
430,52.0,53.858002
431,52.189999,53.478001
432,58.827999,52.136002
433,57.700001,52.773998
434,62.972,60.209999
435,66.18,63.444
436,66.18,63.444
437,66.18,63.444
438,66.970001,61.650002
439,65.980003,67.494003
440,67.463997,65.678001
441,68.856003,66.508003
442,69.281998,67.652
443,69.281998,67.652
444,69.281998,67.652
445,68.279999,68.748001
446,68.211998,68.099998
447,69.632004,67.814003
448,70.279999,68.667999
449,70.101997,69.699997
450,70.101997,69.699997
451,70.101997,69.699997
452,66.255997,69.800003
453,67.746002,69.674004
454,68.800003,66.632004
455,69.688004,68.540001
456,70.862,68.466003
457,70.862,68.466003
458,70.862,68.466003
459,70.694,69.038002
460,69.498001,71.267998
461,67.638,68.349998
462,67.638,68.349998
463,65.166,70.400002
464,65.166,70.400002
465,65.166,70.400002
466,69.199997,66.870003
467,68.783997,65.0
468,69.573997,68.010002
469,68.234001,69.197998
470,70.096001,69.400002
471,70.096001,69.400002
472,70.096001,69.400002
473,71.697998,68.365997
474,71.940002,72.0
475,71.940002,72.0
476,72.612,71.209999
477,71.594002,71.202003
478,71.594002,71.202003
479,71.594002,71.202003
480,73.029999,73.800003
481,73.351997,72.0
482,73.32,73.982002
483,75.358002,73.884003
484,73.141998,74.029999
485,73.141998,74.029999
486,73.141998,74.029999
487,69.683998,75.0
488,67.405998,72.400002
489,66.594002,70.108002
490,63.076,67.519997
491,63.953999,65.410004
492,63.953999,65.410004
493,63.953999,65.410004
494,59.077999,63.48
495,59.077999,63.48
496,65.218002,62.700001
497,63.226002,60.0
498,66.774002,63.967999
499,66.774002,63.967999
500,66.774002,63.967999
501,66.559998,64.620003
502,66.559998,64.620003
503,62.023998,67.557999
504,60.071999,61.220001
505,63.537998,61.400002
506,63.537998,61.400002
507,63.537998,61.400002
508,66.991997,61.200001
509,67.07,64.344002
510,67.706001,68.391998
511,68.994003,67.099998
512,69.452003,66.879997
513,69.452003,66.879997
514,69.452003,66.879997
515,66.879997,68.417999
516,68.886002,68.475998
517,69.209999,67.0
518,69.461998,68.956001
519,60.452,69.241997
520,60.452,69.241997
521,60.452,69.241997
522,60.452,69.241997
523,59.784,64.599998
524,57.518002,60.964001
525,58.301998,58.5
526,59.408001,56.605999
527,59.408001,56.605999
528,59.408001,56.605999
529,59.276001,58.877998
530,59.492001,58.582001
531,61.754002,59.054001
532,61.403999,60.09
533,62.442001,60.200001
534,62.442001,60.200001
535,62.442001,60.200001
536,62.577999,61.084
537,64.269997,62.596001
538,63.444,62.498001
539,61.501999,63.917999
540,61.16,62.66
541,61.16,62.66
542,61.16,62.66
543,62.568001,61.366001
544,62.362,62.32
545,61.633999,63.240002
546,60.754002,62.470001
547,61.576,60.675999
548,61.576,60.675999
549,61.576,60.675999
550,61.576,60.675999
551,61.127998,60.900002
552,60.512001,61.312
553,58.245998,60.882
554,58.942001,60.362
555,58.942001,60.362
556,58.942001,60.362
557,59.754002,58.897999
558,59.571999,59.582001
559,62.948002,58.444
560,63.976002,60.355999
561,58.958,63.784
562,58.958,63.784
563,58.958,63.784
564,57.071999,61.388
565,55.307999,59.624001
566,55.248001,56.400002
567,55.318001,55.296001
568,56.827999,55.768002
569,56.827999,55.768002
570,56.827999,55.768002
571,58.183998,55.382
572,56.672001,56.703999
573,57.792,57.298
574,57.992001,56.779999
575,55.085999,58.490002
576,55.085999,58.490002
577,55.085999,58.490002
578,53.897999,56.702
579,53.493999,55.200001
580,54.720001,53.5
581,54.804001,53.938
582,52.905998,54.52
583,52.905998,54.52
584,52.905998,54.52
585,52.084,54.515999
586,53.554001,51.942001
587,54.966,52.888
588,55.723999,53.75
589,55.972,55.431999
590,55.972,55.431999
591,55.972,55.431999
592,57.835999,55.740002
593,57.175999,56.523998
594,58.362,57.66
595,53.556,57.464001
596,54.992001,52.377998
597,54.992001,52.377998
598,54.992001,52.377998
599,54.639999,53.972
600,54.462002,55.537998
601,55.212002,54.330002
602,53.683998,55.348
603,53.540001,53.66
604,53.540001,53.66
605,53.540001,53.66
606,53.276001,54.043999
607,54.672001,53.726002
608,54.245998,53.150002
609,54.652,54.950001
610,54.652,54.950001
611,54.652,54.950001
612,54.652,54.950001
613,52.549999,54.245998
614,52.779999,53.799999
615,51.731998,52.029999
616,49.526001,52.77
617,47.028,51.0
618,47.028,51.0
619,47.028,51.0
620,48.293999,49.299999
621,47.737999,47.172001
622,46.801998,48.411999
623,48.82,47.77
624,51.006001,49.104
625,51.006001,49.104
626,51.006001,49.104
627,51.068001,48.771999
628,49.411999,50.004002
629,48.967999,51.360001
630,48.396,49.388
631,47.903999,48.400002
632,47.903999,48.400002
633,47.903999,48.400002
634,45.402,47.950001
635,46.462002,46.402
636,46.389999,45.860001
637,45.666,45.863998
638,42.206001,45.897999
639,42.206001,45.897999
640,42.206001,45.897999
641,41.071999,44.391998
642,41.015999,40.560001
643,38.546001,39.551998
644,39.098,39.82
645,38.125999,38.868
646,38.125999,38.868
647,38.125999,38.868
648,38.125999,38.868
649,37.740002,39.966
650,37.972,38.240002
651,37.644001,37.419998
652,37.032001,37.75
653,37.032001,37.75
654,37.032001,37.75
655,35.793999,37.02
656,38.720001,37.102001
657,39.318001,36.220001
658,41.189999,39.736
659,40.900002,40.888
660,40.900002,40.888
661,40.900002,40.888
662,42.576,41.0
663,43.419998,42.049999
664,41.852001,43.827999
665,42.782001,44.59
666,42.984001,42.076
667,42.984001,42.076
668,42.984001,42.076
669,45.006001,42.25
670,44.948002,43.096001
671,45.285999,45.743999
672,43.924,45.021999
673,44.372002,44.599998
674,44.372002,44.599998
675,44.372002,44.599998
676,44.728001,43.243999
677,43.952,44.647999
678,43.854,44.877998
679,44.568001,44.062
680,44.692001,43.889999
681,44.692001,43.889999
682,44.692001,43.889999
683,45.433998,44.198002
684,44.91,46.042
685,46.98,45.778
686,46.98,45.778
687,46.619999,47.877998
688,46.619999,47.877998
689,46.619999,47.877998
690,46.068001,46.914001
691,46.012001,46.248001
692,47.784,45.793999
693,47.720001,46.830002
694,49.015999,47.627998
695,49.015999,47.627998
696,49.015999,47.627998
697,50.700001,47.950001
698,50.476002,49.599998
699,50.972,49.860001
700,50.708,51.133999
701,51.636002,51.009998
702,51.636002,51.009998
703,51.636002,51.009998
704,51.136002,51.138
705,52.034,51.75
706,52.976002,51.341999
707,45.764,51.834
708,45.608002,46.700001
